GENDER,AGE,NETMONTHLYINCOME,Credit_Score,num_times_delinquent
M,48,19500.0,704,0
M,41,33000.0,701,0
M,27,34000.0,657,0
M,48,16000.0,673,0
M,46,40000.0,677,0
M,33,15000.0,679,0
M,57,28000.0,676,2
M,28,26500.0,670,0
M,55,25000.0,720,6
F,38,15000.0,688,0
M,31,25000.0,681,0
M,29,40000.0,666,11
M,28,20000.0,691,0
M,29,30000.0,676,18
F,46,25000.0,670,1
M,28,28000.0,662,1
M,31,20000.0,663,0
M,27,20000.0,692,0
M,30,25000.0,651,7
M,44,25000.0,699,0
M,37,25000.0,692,0
M,41,15000.0,690,0
M,33,14500.0,690,0
M,32,20000.0,664,0
M,23,75000.0,655,1
M,31,20000.0,729,0
M,23,18500.0,687,0
M,26,50000.0,675,0
M,51,27000.0,687,2
M,24,10000.0,686,0
M,32,22000.0,665,0
M,28,15000.0,668,0
M,24,40000.0,675,3
M,55,20000.0,669,0
M,25,85000.0,655,0
F,52,20000.0,671,2
M,22,19500.0,642,0
M,22,26000.0,675,0
M,26,17000.0,673,1
M,36,30000.0,671,7
M,27,50000.0,658,0
M,48,50000.0,754,0
F,36,15000.0,570,20
F,38,30000.0,694,5
M,30,25000.0,669,0
F,29,18000.0,698,0
F,34,38000.0,679,0
M,43,18000.0,700,0
F,38,22000.0,673,0
F,55,18000.0,682,0
M,31,60000.0,688,0
M,29,12000.0,686,0
M,33,24000.0,734,0
M,22,22000.0,688,0
M,32,25000.0,643,1
M,58,35500.0,681,0
F,27,28000.0,679,1
M,48,20000.0,662,12
M,50,31000.0,710,0
M,48,45000.0,657,0
M,29,30000.0,664,1
M,30,19000.0,689,0
M,37,26000.0,712,0
M,35,15000.0,682,0
F,26,15000.0,676,0
M,28,18000.0,656,0
M,32,34000.0,653,4
M,23,17000.0,681,0
M,39,28000.0,668,0
M,42,8000.0,685,0
M,39,30000.0,722,0
M,26,18000.0,683,0
M,27,14500.0,672,0
M,39,45000.0,710,0
M,24,25000.0,673,1
M,30,18000.0,658,3
M,28,11000.0,695,0
F,39,11000.0,694,0
M,29,12000.0,693,0
M,27,15000.0,680,0
M,39,50000.0,691,1
M,28,30000.0,672,0
F,41,22000.0,681,1
M,24,18000.0,673,0
M,23,15500.0,632,0
M,22,15000.0,671,0
M,39,25000.0,704,15
M,23,20000.0,661,0
M,48,10000.0,672,0
M,44,35000.0,653,12
M,34,45000.0,689,3
F,42,25000.0,664,0
M,58,64000.0,710,0
M,57,16000.0,707,0
M,28,20000.0,686,0
M,31,45000.0,662,0
M,44,16000.0,679,0
M,23,13000.0,685,0
M,36,16000.0,716,0
M,23,10000.0,681,0
M,31,30000.0,707,0
M,35,22000.0,624,1
M,32,19000.0,677,0
F,24,19000.0,696,2
F,31,35000.0,676,7
M,25,20000.0,665,0
F,38,35000.0,644,1
M,48,20000.0,675,0
M,31,30000.0,724,0
M,40,20000.0,715,0
M,37,30000.0,677,0
M,33,13000.0,687,5
M,29,28000.0,661,0
M,25,30000.0,642,1
M,32,20000.0,676,0
M,27,21756.0,670,1
M,26,18000.0,666,0
M,41,30000.0,693,0
M,33,12.0,666,2
M,53,30000.0,699,1
M,29,14000.0,663,2
M,23,68000.0,656,0
M,32,40000.0,690,0
F,56,35000.0,651,0
F,46,28000.0,731,0
M,31,13800.0,666,0
F,41,45000.0,693,0
M,23,20000.0,667,4
M,33,35000.0,698,10
M,34,15000.0,671,0
M,36,6.0,645,9
M,38,28000.0,701,12
M,25,28000.0,687,0
M,40,40000.0,673,0
M,21,38000.0,657,1
M,47,35000.0,680,1
M,57,60000.0,759,4
M,24,18000.0,675,8
M,49,20000.0,679,0
M,34,28000.0,659,1
M,30,21890.0,647,1
M,21,15000.0,683,0
M,28,60000.0,649,57
M,46,15000.0,701,0
M,51,20000.0,699,0
M,35,15000.0,674,0
M,50,35000.0,693,0
F,23,18000.0,633,2
M,26,64000.0,693,0
M,21,20000.0,680,4
F,26,19000.0,672,0
M,25,13000.0,677,1
M,29,35000.0,686,4
M,37,55000.0,706,0
M,35,28000.0,705,0
M,33,18000.0,692,0
M,32,23000.0,664,7
F,27,13500.0,682,0
F,42,30000.0,730,0
M,58,13000.0,704,0
M,26,12500.0,664,1
M,31,30000.0,679,0
M,26,20000.0,655,0
M,48,43000.0,661,0
F,37,50000.0,662,1
M,21,30000.0,662,0
M,23,18000.0,683,0
M,38,15500.0,706,0
F,46,21000.0,656,8
M,24,26350.0,658,0
F,26,15000.0,681,0
M,30,28000.0,695,0
M,59,25000.0,678,0
M,26,25000.0,658,5
F,37,18000.0,684,0
M,28,30000.0,691,0
F,26,13000.0,679,0
M,31,20000.0,663,0
F,24,15000.0,688,0
M,25,28000.0,670,0
M,30,40000.0,650,6
M,27,24000.0,680,0
M,30,20000.0,669,0
M,32,25000.0,660,12
M,30,19000.0,681,2
M,26,12000.0,708,0
M,24,35000.0,674,0
M,34,20000.0,724,0
M,24,30000.0,643,0
M,29,18000.0,649,2
M,27,18000.0,669,0
F,24,16000.0,688,0
M,37,18000.0,668,0
M,22,18000.0,696,0
M,24,18000.0,678,0
M,26,25000.0,621,2
M,31,30000.0,667,0
M,37,25000.0,679,0
M,24,28000.0,671,0
F,27,15000.0,629,0
M,40,22000.0,670,0
M,43,35000.0,684,0
M,33,40000.0,666,1
M,36,17000.0,656,3
M,46,35000.0,668,0
M,21,5000.0,672,0
M,26,25000.0,670,12
M,23,40000.0,633,4
M,41,52000.0,679,4
M,32,22000.0,683,0
M,53,15500.0,646,1
M,39,27500.0,719,0
M,41,15000.0,698,0
F,33,11500.0,698,0
M,44,20000.0,701,0
M,38,28000.0,644,0
M,32,25000.0,665,2
M,29,28000.0,691,0
M,43,16000.0,677,1
M,22,20000.0,679,0
M,29,22500.0,659,12
M,22,30000.0,680,0
F,33,20000.0,716,0
M,26,10000.0,683,0
M,53,24000.0,701,0
M,36,19000.0,695,0
M,30,13000.0,699,0
M,45,44000.0,725,21
M,27,35000.0,674,0
M,40,35000.0,681,0
M,38,30000.0,702,0
M,25,39000.0,662,4
M,35,20000.0,699,0
M,34,32000.0,670,0
M,37,20000.0,712,0
M,22,28000.0,674,0
M,29,15800.0,671,0
M,38,55000.0,680,0
M,25,18000.0,644,0
M,24,23500.0,674,3
M,23,15000.0,679,0
M,62,2000.0,665,6
M,29,20000.0,683,0
M,34,30000.0,702,0
F,26,20000.0,673,0
M,31,23000.0,691,4
M,45,35000.0,698,3
M,46,32000.0,663,2
M,34,15500.0,689,0
F,36,14000.0,689,0
M,24,25000.0,590,0
F,33,38000.0,691,0
M,27,18000.0,643,1
M,36,70000.0,655,8
M,33,80000.0,694,0
M,47,29000.0,700,6
M,37,23000.0,686,1
M,47,15000.0,682,1
M,21,8000.0,688,0
M,21,18000.0,642,2
F,52,40000.0,734,0
M,35,18000.0,692,0
M,33,18000.0,646,3
M,37,15000.0,677,2
M,29,18000.0,678,0
F,40,10000.0,685,0
F,43,20500.0,665,0
F,49,24000.0,679,0
M,31,19500.0,688,0
M,42,33000.0,690,0
F,50,16500.0,699,0
M,21,20000.0,680,0
M,55,27000.0,686,0
M,23,65000.0,699,0
M,23,18000.0,676,0
M,36,22000.0,682,0
M,24,30000.0,653,5
M,32,15000.0,681,7
M,29,45000.0,665,5
F,36,20000.0,671,0
M,34,40000.0,677,0
M,33,17500.0,684,0
M,25,11000.0,648,1
F,28,23300.0,650,9
M,42,35000.0,719,0
M,22,10000.0,681,0
M,33,22000.0,734,0
M,29,25000.0,723,0
M,26,15500.0,675,0
M,36,30000.0,660,0
M,42,30000.0,668,6
M,30,25000.0,693,0
M,28,30000.0,679,0
M,30,38000.0,708,3
M,25,50000.0,677,0
M,22,15000.0,664,2
M,26,20000.0,654,5
M,37,17000.0,677,0
M,26,39000.0,696,1
F,31,25000.0,697,0
M,51,17000.0,685,0
M,26,12000.0,689,0
M,40,20000.0,680,2
M,53,15000.0,675,0
M,40,22000.0,639,17
M,46,32800.0,669,1
M,23,20000.0,676,1
M,33,47000.0,694,0
M,32,20000.0,693,2
M,50,35000.0,659,34
M,41,18000.0,685,3
M,31,42000.0,674,0
M,43,27500.0,690,0
M,25,16000.0,680,0
M,45,37000.0,737,0
M,30,30000.0,654,0
M,24,12500.0,678,0
M,31,15500.0,684,0
M,28,50000.0,670,2
M,26,14000.0,669,1
F,46,10.0,651,3
M,21,12500.0,681,0
M,24,25000.0,674,0
M,31,21000.0,682,3
M,26,15000.0,690,0
M,29,15500.0,675,0
M,24,30000.0,679,0
M,28,18500.0,714,11
M,38,10000.0,689,0
M,31,20500.0,663,0
M,39,23500.0,687,2
M,31,59000.0,671,1
M,27,16000.0,693,0
M,39,25000.0,716,0
M,34,20000.0,661,0
M,44,28000.0,717,0
M,27,28000.0,678,1
M,25,15000.0,676,0
M,46,3650.0,674,1
M,45,28000.0,699,0
M,24,35000.0,649,0
F,46,13500.0,708,0
M,24,18000.0,667,1
M,22,12000.0,682,0
M,26,27500.0,635,1
M,38,18000.0,697,0
M,32,15000.0,666,0
M,29,25000.0,702,12
M,30,19000.0,685,0
M,28,43000.0,710,0
M,47,49000.0,720,0
M,35,30000.0,685,31
M,29,45000.0,613,21
M,26,90000.0,674,3
F,53,37500.0,687,0
M,27,12500.0,677,0
M,30,15000.0,680,0
M,34,18000.0,676,0
M,33,32000.0,680,2
M,37,45500.0,647,4
M,25,35000.0,689,0
M,52,55000.0,675,5
M,33,25000.0,664,6
M,32,25000.0,685,0
M,27,13000.0,671,0
M,43,16000.0,686,0
M,31,40000.0,662,0
M,26,23500.0,669,0
M,45,25000.0,739,0
M,39,20000.0,674,1
M,31,58000.0,693,0
M,27,30000.0,677,4
M,38,15000.0,682,0
M,27,48000.0,675,0
M,22,24000.0,687,0
M,39,15000.0,698,0
M,26,16000.0,689,1
M,26,19000.0,681,0
M,32,28000.0,671,0
M,31,18000.0,682,0
F,31,28000.0,664,4
M,35,60000.0,682,0
M,35,25000.0,662,2
F,32,11200.0,678,0
M,34,41000.0,711,0
M,52,60000.0,723,0
M,22,22000.0,659,0
M,22,24000.0,680,0
M,23,31000.0,668,8
M,28,32458.0,656,0
M,38,13000.0,661,0
M,22,23000.0,671,0
M,49,40000.0,693,0
M,29,30000.0,659,0
M,47,35000.0,710,0
M,26,20000.0,663,4
F,44,42000.0,695,0
F,28,20000.0,670,0
M,35,39000.0,692,0
M,28,19000.0,685,0
M,26,24000.0,680,0
M,48,40000.0,688,5
F,29,19800.0,665,1
M,29,15000.0,677,0
M,45,9000.0,668,6
M,37,30000.0,672,1
M,27,25000.0,708,0
M,29,40000.0,643,0
M,34,35000.0,695,0
M,25,38000.0,671,1
M,32,28000.0,628,1
M,28,28000.0,650,2
M,37,16000.0,658,2
M,27,18000.0,690,0
M,40,30000.0,688,0
M,22,11000.0,676,0
M,32,38000.0,706,8
M,27,15000.0,666,0
M,28,19500.0,699,0
M,43,26000.0,715,0
M,24,12000.0,696,0
F,40,12800.0,693,0
M,23,22000.0,682,0
M,36,18000.0,724,0
M,31,65000.0,704,0
M,34,20700.0,668,0
M,39,34000.0,698,0
M,32,15000.0,685,0
M,28,20000.0,678,0
M,38,35000.0,685,0
M,27,18000.0,680,1
M,41,25000.0,706,0
M,24,20000.0,688,0
M,27,32500.0,680,0
F,31,10000.0,671,0
M,53,25000.0,711,8
M,51,69500.0,715,0
F,30,20000.0,692,0
M,33,22500.0,686,1
M,28,18000.0,663,2
M,33,10000.0,673,5
F,36,15000.0,692,0
M,30,22000.0,661,0
M,30,14500.0,674,0
M,32,3000.0,687,0
M,31,36500.0,670,1
M,50,30000.0,676,11
M,29,22000.0,653,2
F,31,19000.0,666,0
M,33,20000.0,678,13
M,54,74000.0,686,1
M,28,5000.0,678,2
M,25,25000.0,628,0
M,37,16000.0,683,0
M,30,35000.0,687,0
M,41,95000.0,678,0
M,41,15000.0,681,0
M,29,45000.0,670,13
M,55,52200.0,721,1
M,28,19000.0,713,0
M,55,30000.0,673,0
M,46,26000.0,695,0
M,23,20000.0,688,0
M,33,21500.0,681,0
M,23,38000.0,679,0
M,25,18500.0,688,0
M,59,45000.0,610,0
M,46,30000.0,665,4
M,25,30000.0,671,0
M,24,13000.0,683,0
M,24,16000.0,685,0
F,34,6000.0,655,2
M,50,16800.0,692,0
F,34,25000.0,669,0
M,48,50000.0,650,1
M,21,22000.0,663,0
M,29,37652.0,725,0
M,43,56500.0,698,0
M,28,18500.0,673,0
M,43,19000.0,712,12
M,30,10500.0,680,0
M,25,26000.0,677,0
M,41,31000.0,680,4
M,21,12000.0,686,0
F,47,18000.0,695,0
M,35,35000.0,678,0
M,48,21000.0,682,0
M,46,20000.0,704,5
M,36,35000.0,690,2
M,36,12000.0,702,6
M,56,17500.0,678,1
M,48,15000.0,682,0
M,27,19000.0,690,0
M,23,40000.0,670,0
M,31,27000.0,678,7
F,45,25000.0,646,0
M,46,55000.0,709,4
M,54,22000.0,678,5
M,23,35000.0,640,0
M,34,18000.0,702,0
M,45,32000.0,684,0
M,34,16800.0,660,2
M,26,50000.0,683,0
M,23,22000.0,644,0
M,28,20500.0,680,0
M,46,20000.0,685,0
M,31,28000.0,668,5
M,56,54000.0,710,0
M,42,23000.0,661,1
M,22,23000.0,673,0
M,33,100000.0,666,0
M,29,25000.0,695,0
M,40,10000.0,685,0
F,25,10000.0,661,0
M,53,15000.0,694,2
M,34,27000.0,667,33
M,26,20000.0,664,0
M,34,22000.0,694,0
M,25,25000.0,683,17
M,35,15000.0,717,1
M,34,12500.0,690,0
M,23,40000.0,643,0
M,57,24000.0,695,0
M,27,20000.0,632,9
M,36,17000.0,675,0
M,31,25000.0,675,0
F,21,15000.0,685,0
M,24,27000.0,680,0
M,39,25000.0,727,0
F,28,25000.0,679,0
M,33,20000.0,671,0
M,25,15000.0,665,3
M,29,26000.0,670,0
M,43,16000.0,670,14
F,22,25000.0,677,3
F,25,25000.0,660,0
M,40,45000.0,687,0
F,35,17990.0,686,0
M,36,25000.0,675,0
M,29,50000.0,672,0
M,28,25000.0,669,0
M,21,13500.0,679,0
M,25,37000.0,674,0
M,22,35000.0,694,0
M,24,16000.0,671,9
M,24,12000.0,671,0
M,33,13000.0,697,0
M,38,15000.0,726,0
M,23,22000.0,656,0
M,21,33000.0,648,1
M,36,23000.0,677,0
M,61,31000.0,700,0
M,24,23000.0,656,2
F,24,9000.0,681,0
M,53,13000.0,684,5
M,32,23000.0,683,7
M,28,35000.0,674,1
M,27,12000.0,696,0
M,24,15000.0,673,0
M,32,25000.0,672,7
M,51,18000.0,688,0
F,49,30000.0,720,5
M,33,30000.0,686,0
M,24,16000.0,696,0
M,34,26500.0,680,0
M,64,75000.0,699,1
M,26,60000.0,679,0
M,29,20000.0,663,0
F,38,22000.0,687,1
M,26,20000.0,652,0
M,31,15000.0,695,0
M,43,25000.0,696,0
M,41,71000.0,713,0
M,33,20000.0,663,0
M,52,35000.0,666,1
F,35,10000.0,669,0
M,36,19000.0,688,1
M,43,32000.0,699,0
M,22,10293.0,658,1
M,31,13000.0,684,0
M,34,13000.0,691,0
M,26,32000.0,707,0
M,34,30000.0,654,0
M,40,20000.0,665,2
M,41,25000.0,696,0
M,51,58000.0,667,0
M,32,34000.0,653,4
M,23,19000.0,670,0
M,36,15000.0,678,4
F,32,8100.0,690,0
M,28,15000.0,689,0
M,27,29650.0,679,0
F,29,18000.0,671,0
M,39,18000.0,672,28
M,41,45000.0,693,0
F,45,24000.0,688,0
M,29,150000.0,691,0
M,54,23000.0,683,0
M,55,15000.0,678,0
M,39,25000.0,689,0
M,31,24000.0,696,0
M,27,15000.0,676,12
M,52,42950.0,678,1
M,29,15000.0,697,0
M,42,65000.0,667,3
M,31,38000.0,698,0
M,46,38000.0,744,35
M,46,95000.0,646,8
M,23,30000.0,675,1
M,25,22800.0,660,0
M,41,33000.0,704,0
M,47,15000.0,636,0
M,24,25000.0,686,0
F,27,24000.0,686,13
M,33,50000.0,697,0
M,31,30000.0,661,0
M,24,12000.0,669,0
M,45,19500.0,685,0
M,36,55000.0,691,0
M,35,38000.0,674,6
M,26,12000.0,649,11
M,38,38000.0,677,1
M,27,40000.0,682,3
M,47,28000.0,695,0
M,24,30000.0,670,0
M,31,18000.0,685,0
F,24,15000.0,678,2
F,41,21500.0,695,0
M,46,20000.0,700,0
M,26,30000.0,691,0
M,60,38000.0,655,0
M,23,17000.0,691,0
M,30,48000.0,664,12
M,23,23000.0,685,0
M,38,20000.0,697,3
M,33,20000.0,680,0
M,53,30000.0,676,0
M,31,25000.0,725,0
M,37,20000.0,674,0
M,32,17000.0,680,0
M,28,16000.0,686,0
M,32,50000.0,666,0
M,23,12000.0,681,0
M,24,29000.0,674,0
M,28,30000.0,673,0
M,29,70000.0,700,0
M,31,20000.0,658,1
M,34,21500.0,681,0
F,38,35000.0,690,0
M,47,40000.0,707,2
M,39,50000.0,677,0
M,38,42000.0,675,0
M,39,25000.0,670,0
M,28,50000.0,644,4
M,26,23000.0,663,0
M,21,16000.0,665,0
M,23,25000.0,685,0
M,43,28000.0,702,0
M,45,20000.0,673,0
M,33,45000.0,671,3
M,34,21000.0,677,0
M,40,60000.0,666,0
M,42,19000.0,678,0
M,35,30000.0,689,0
M,23,13000.0,680,0
M,33,26500.0,688,0
M,33,33500.0,722,0
M,24,20000.0,675,0
M,53,50000.0,679,0
M,29,28000.0,681,4
M,27,15000.0,684,0
M,25,24000.0,685,0
M,55,35000.0,685,0
M,33,17000.0,690,0
M,29,18000.0,708,0
M,39,19000.0,678,2
M,22,9500.0,671,0
M,36,13000.0,703,0
M,27,12500.0,679,0
M,40,20000.0,678,1
M,23,9500.0,669,0
M,35,40000.0,682,0
F,38,22000.0,688,0
M,27,18500.0,670,10
M,24,18600.0,662,0
M,32,32400.0,684,0
M,37,35600.0,689,0
M,32,90000.0,695,0
M,32,25000.0,676,0
M,25,21500.0,677,0
M,27,32000.0,663,0
M,22,40000.0,686,0
M,32,25000.0,632,0
M,29,20000.0,697,0
M,35,20000.0,694,0
M,28,35000.0,657,0
M,52,60000.0,704,0
M,33,17000.0,669,0
M,28,23000.0,688,0
M,39,20000.0,687,0
M,33,30000.0,704,0
M,44,34000.0,678,0
M,30,35000.0,666,1
M,28,18000.0,683,0
M,24,35000.0,659,9
M,37,23000.0,705,0
M,33,28000.0,719,0
M,46,26000.0,680,1
M,26,20000.0,649,1
M,36,30000.0,715,12
F,22,33000.0,684,0
M,41,20500.0,664,6
M,38,31000.0,636,0
F,31,30000.0,679,0
M,23,15500.0,684,0
M,22,19500.0,666,0
M,38,30000.0,689,0
M,37,23000.0,684,0
M,25,25000.0,681,0
M,34,40000.0,658,4
M,25,15000.0,678,0
M,22,11000.0,691,0
M,42,22000.0,674,0
M,21,32254.0,673,0
M,41,29000.0,671,0
M,25,13000.0,676,0
M,44,25000.0,685,26
M,25,18000.0,679,0
F,21,15000.0,665,1
M,55,22000.0,674,13
M,25,15000.0,684,0
M,37,30000.0,674,0
M,26,70000.0,670,0
M,33,60000.0,690,0
M,51,25000.0,645,3
M,30,16500.0,653,1
M,26,42000.0,682,0
M,36,43000.0,687,0
M,26,24000.0,664,34
M,55,40000.0,693,0
M,28,73000.0,676,0
M,26,10000.0,670,0
M,25,17000.0,674,0
M,25,13000.0,687,1
M,26,33000.0,669,0
M,26,23000.0,678,0
F,40,30000.0,669,2
M,35,13500.0,665,0
M,28,32000.0,682,0
M,27,60000.0,663,0
F,39,50000.0,704,0
M,28,11000.0,700,0
F,44,16000.0,699,0
F,41,25000.0,688,0
M,31,30000.0,674,0
M,52,30000.0,710,0
M,32,18000.0,677,0
M,32,18200.0,692,0
M,22,23000.0,649,0
M,32,26000.0,679,0
M,40,24000.0,693,0
M,30,20000.0,672,0
M,39,12000.0,723,0
M,29,42000.0,652,2
M,51,18000.0,689,1
M,31,18000.0,662,1
M,35,30000.0,686,0
M,43,18000.0,673,9
M,61,20000.0,680,21
M,26,18000.0,700,0
M,50,20000.0,653,0
M,25,50000.0,680,0
M,37,26000.0,695,0
M,44,12000.0,678,3
M,24,22000.0,684,0
M,30,14885.0,663,0
M,24,29466.0,661,11
F,36,9000.0,685,0
M,29,17000.0,679,0
M,24,16000.0,661,1
M,28,22000.0,678,0
M,35,25000.0,690,0
M,36,25000.0,664,0
M,42,20000.0,666,4
M,30,21000.0,664,2
M,41,20000.0,718,0
M,58,30000.0,688,0
M,34,70000.0,701,1
M,48,17000.0,691,8
M,28,60000.0,679,0
M,30,20000.0,647,0
M,28,25000.0,693,0
M,36,16000.0,669,1
M,23,15000.0,681,0
M,53,15000.0,678,0
M,23,40000.0,673,2
M,48,25000.0,706,2
M,46,15000.0,708,0
M,38,20000.0,721,0
F,33,13500.0,664,0
M,28,13000.0,693,0
M,28,25000.0,700,0
M,35,45000.0,710,0
M,37,18200.0,687,0
M,31,11000.0,677,0
M,24,15000.0,674,0
M,31,20000.0,662,1
M,36,25000.0,698,0
F,29,15000.0,663,0
F,59,25000.0,684,0
M,33,23000.0,691,0
